Label,Function,SourceFile,ARM_PcodeLines,MIPS_PcodeLines,Match_Ratio,Notes
232,__openat_nocancel,Unknown,30,529,3.09,P-code行數差異顯著; 低相似度
326,__strtoul,Unknown,17,1,5.25,P-code行數差異顯著; 低相似度
153,arena_get2,Unknown,5621,31,0.36,P-code行數差異顯著; 低相似度
758,__nptl_stack_list_del,Unknown,38,283,10.84,P-code行數差異顯著; 低相似度
404,_IO_no_init,Unknown,127,30,5.61,P-code行數差異顯著; 低相似度
116,__correctly_grouped_prefixmb,Unknown,120,5,3.74,P-code行數差異顯著; 低相似度
724,_IO_adjust_wcolumn,Unknown,18,15,20.79,低相似度
704,__getdelim,Unknown,503,23,0.87,P-code行數差異顯著; 低相似度
777,__wcslen,Unknown,32,18,36.59,P-code行數差異顯著; 低相似度
878,_dl_find_object_from_map,Unknown,43,80,28.04,P-code行數差異顯著; 低相似度
186,__posix_memalign,Unknown,35,71,18.52,P-code行數差異顯著; 低相似度
489,__nanosleep64,Unknown,21,65,16.34,P-code行數差異顯著; 低相似度
636,__dcigettext,Unknown,4424,3318,2.24,P-code行數差異顯著; 低相似度
698,__get_errlist,Unknown,20,825,2.21,P-code行數差異顯著; 低相似度
725,_IO_init_wmarker,Unknown,37,104,24.06,P-code行數差異顯著; 低相似度
732,_IO_wfile_underflow_mmap,Unknown,182,53,8.14,P-code行數差異顯著; 低相似度
133,_dl_tunable_set_trim_threshold,Unknown,13,5,40.44,P-code行數差異顯著; 低相似度
1040,_fini,Unknown,1,45,0.69,P-code行數差異顯著; 低相似度
26,free_opts,Unknown,20,17,5.11,低相似度
855,__sysconf,Unknown,1367,24,0.83,P-code行數差異顯著; 低相似度
332,_itoa,Unknown,785,44,2.52,P-code行數差異顯著; 低相似度
456,__pthread_mutex_unlock_usercnt,Unknown,312,2,1.07,P-code行數差異顯著; 低相似度
134,_dl_tunable_set_arena_max,Unknown,9,4,42.08,P-code行數差異顯著; 低相似度
316,__ctype_init,Unknown,44,26,12.28,P-code行數差異顯著; 低相似度
1012,__gnu_Unwind_Restore_VFP,Unknown,2,98,1.61,P-code行數差異顯著; 低相似度
37,killer_init,Unknown,663,950,6.41,P-code行數差異顯著; 低相似度
182,__libc_mallinfo2,Unknown,271,209,13.78,P-code行數差異顯著; 低相似度
1021,__gnu_Unwind_Save_WMMXC,Unknown,9,36,19.35,P-code行數差異顯著; 低相似度
59,table_unlock_val,Unknown,4,455,0.72,P-code行數差異顯著; 低相似度
121,__lll_lock_wake_private,Unknown,2,29,6.09,P-code行數差異顯著; 低相似度
141,int_mallinfo,Unknown,176,67,11.63,P-code行數差異顯著; 低相似度
420,_IO_unsave_markers,Unknown,39,7,16.41,P-code行數差異顯著; 低相似度
344,_IO_fwrite,Unknown,288,32,5.69,P-code行數差異顯著; 低相似度
252,__mremap,Unknown,22,220,5.52,P-code行數差異顯著; 低相似度
860,_dl_close_worker,Unknown,11610,37,0.19,P-code行數差異顯著; 低相似度
14,attack_app_http,Unknown,27803,2,0.01,P-code行數差異顯著; 低相似度
490,__nanosleep,Unknown,63,163,15.12,P-code行數差異顯著; 低相似度
569,_dl_setup_hash,Unknown,135,316,16.66,P-code行數差異顯著; 低相似度
876,_dl_unmap,Unknown,9,1478,0.95,P-code行數差異顯著; 低相似度
147,unlink_chunk,Unknown,162,14,8.55,P-code行數差異顯著; 低相似度
7,_start,Unknown,15,2,26.21,P-code行數差異顯著; 低相似度
76,util_isupper,Unknown,12,811,1.09,P-code行數差異顯著; 低相似度
694,__wprintf_buffer_putc_1,Unknown,54,11,21.74,P-code行數差異顯著; 低相似度
111,__strtol,Unknown,17,24,29.76,P-code行數差異顯著; 低相似度
97,__libc_sigaction,Unknown,153,13,5.46,P-code行數差異顯著; 低相似度
691,__register_printf_type,Unknown,215,44,5.49,P-code行數差異顯著; 低相似度
410,_IO_adjust_column,Unknown,17,503,3.81,P-code行數差異顯著; 低相似度
44,anti_gdb_entry,Unknown,6,6,26.28,低相似度
187,memcmp,Unknown,530,497,17.93,低相似度
317,__sigsetjmp,Unknown,158,11,2.89,P-code行數差異顯著; 低相似度
908,__libc_dlerror_result_free,Unknown,71,77,28.94,低相似度
483,__wcsmbs_named_conv,Unknown,67,68,21.84,低相似度
415,_IO_init_marker,Unknown,34,64,27.22,P-code行數差異顯著; 低相似度
359,_IO_new_file_underflow,Unknown,945,8,0.40,P-code行數差異顯著; 低相似度
808,__libc_dlclose,Unknown,30,180,4.56,P-code行數差異顯著; 低相似度
1001,_Unwind_VRS_Get,Unknown,17,78,15.98,P-code行數差異顯著; 低相似度
869,_dl_show_scope,Unknown,257,464,10.45,P-code行數差異顯著; 低相似度
965,__sync_add_and_fetch_1,Unknown,27,142,3.14,P-code行數差異顯著; 低相似度
926,__cmpdf2,Unknown,55,15,4.54,P-code行數差異顯著; 低相似度
102,__default_sa_restorer,Unknown,4,292,1.79,P-code行數差異顯著; 低相似度
284,_dl_get_tls_static_info,Unknown,22,11,16.72,P-code行數差異顯著; 低相似度
477,strstr,Unknown,217,2,1.34,P-code行數差異顯著; 低相似度
452,__pthread_tunables_init,Unknown,23,80,25.92,P-code行數差異顯著; 低相似度
754,__pthread_cleanup_pop,Unknown,20,34,7.43,P-code行數差異顯著; 低相似度
837,__mpn_submul_1,Unknown,43,42,16.48,低相似度
845,__wprintf_buffer_done,Unknown,64,86,24.51,P-code行數差異顯著; 低相似度
276,__inet_addr,Unknown,9,26,39.73,P-code行數差異顯著; 低相似度
840,__printf_buffer_as_file_overflow,Unknown,81,2083,4.19,P-code行數差異顯著; 低相似度
168,__malloc_fork_unlock_parent,Unknown,89,260,17.12,P-code行數差異顯著; 低相似度
738,_IO_fwide,Unknown,282,271,23.66,低相似度
765,___pthread_rwlock_unlock,Unknown,208,42,13.05,P-code行數差異顯著; 低相似度
515,__chk_fail,Unknown,8,140,2.90,P-code行數差異顯著; 低相似度
23,attack_get_opt_int,Unknown,7,305,1.39,P-code行數差異顯著; 低相似度
77,util_isalpha,Unknown,18,16,11.69,低相似度
351,_IO_file_open,Unknown,143,59,26.40,P-code行數差異顯著; 低相似度
462,__init_sched_fifo_prio,Unknown,15,528,3.66,P-code行數差異顯著; 低相似度
891,__dlclose,Unknown,12,98,11.65,P-code行數差異顯著; 低相似度
10,register_tm_clones,Unknown,25,2,14.98,P-code行數差異顯著; 低相似度
851,strspn,Unknown,155,247,14.73,P-code行數差異顯著; 低相似度
550,_dl_higher_prime_number,Unknown,29,18,19.45,P-code行數差異顯著; 低相似度
842,__printf_buffer_as_file_init,Unknown,47,50,17.69,低相似度
568,_dl_scope_free,Unknown,118,7,7.34,P-code行數差異顯著; 低相似度
647,_nl_normalize_codeset,Unknown,149,1416,5.44,P-code行數差異顯著; 低相似度
779,__wmemchr,Unknown,59,35,26.45,P-code行數差異顯著; 低相似度
665,__printf_buffer_pad_1,Unknown,86,97,22.34,低相似度
256,__malloc_default_thp_pagesize,Unknown,42,63,16.97,P-code行數差異顯著; 低相似度
722,_IO_sputbackwc,Unknown,54,349,12.97,P-code行數差異顯著; 低相似度
888,__mpn_addmul_1,Unknown,39,296,9.90,P-code行數差異顯著; 低相似度
175,__libc_memalign,Unknown,16,583,3.71,P-code行數差異顯著; 低相似度
300,__tunable_get_default,Unknown,35,11,20.14,P-code行數差異顯著; 低相似度
85,__aeabi_ldiv0,Unknown,2,32,7.43,P-code行數差異顯著; 低相似度
211,__run_prefork_handlers,Unknown,295,46,2.15,P-code行數差異顯著; 低相似度
435,enlarge_userbuf,Unknown,236,24,11.62,P-code行數差異顯著; 低相似度
123,__nptl_deallocate_tsd,Unknown,104,4,3.99,P-code行數差異顯著; 低相似度
67,util_strcpy,Unknown,5,9,19.25,P-code行數差異顯著; 低相似度
221,__fstatat64_time64,Unknown,290,36,3.30,P-code行數差異顯著; 低相似度
632,__dcgettext,Unknown,2,44,9.54,P-code行數差異顯著; 低相似度
711,_IO_wdefault_finish,Unknown,41,5,6.28,P-code行數差異顯著; 低相似度
